quarter,purchase_date,baseline_return,symbol,start_price,end_price,return,strat_edge
2021_Q2,2021-10-21,0.32304938901355174,F,13.06098175048828,10.136137962341309,-0.22393751434784961,-0.5469869033614013
2021_Q2,2021-10-21,0.32304938901355174,LYB,76.4321060180664,87.11658477783203,0.13979045346781513,-0.1832589355457366
2021_Q2,2021-10-21,0.32304938901355174,AOS,62.70001220703125,80.4066162109375,0.28240192275306464,-0.0406474662604871
2021_Q2,2021-10-21,0.32304938901355174,DVN,32.58439254760742,39.499881744384766,0.21223317840507444,-0.1108162106084773
2021_Q2,2021-10-21,0.32304938901355174,CI,203.49066162109375,298.6309509277344,0.46754130410070094,0.1444919150871492
2021_Q2,2021-10-21,0.32304938901355174,INCY,65.87000274658203,61.5,-0.06634283534789726,-0.389392224361449
2021_Q2,2021-10-21,0.32304938901355174,BKR,22.231670379638672,30.05292510986328,0.35180688615228234,0.028757497138730603
2021_Q2,2021-10-21,0.32304938901355174,TER,115.83535766601562,109.52302551269533,-0.05449400149063677,-0.3775433905041885
2021_Q2,2021-10-21,0.32304938901355174,CHRW,90.1001968383789,84.26073455810547,-0.06481076052195783,-0.38786014953550957
2021_Q2,2021-10-21,0.32304938901355174,STLD,59.67324447631836,113.3010025024414,0.8986901667028597,0.575640777689308
2021_Q3,2022-01-21,0.26322210238972704,COR,127.0320281982422,215.7530212402344,0.6984143629001734,0.4351922605104464
2021_Q3,2022-01-21,0.26322210238972704,VLO,71.41935729980469,124.45448303222656,0.7425875524165059,0.4793654500267788
2021_Q3,2022-01-21,0.26322210238972704,AIZ,138.7808837890625,165.55738830566406,0.19294087042492125,-0.07028123196480579
2021_Q3,2022-01-21,0.26322210238972704,EXC,36.02078628540039,33.1565055847168,-0.07951743968022479,-0.34273954206995183
2021_Q3,2022-01-21,0.26322210238972704,ALL,109.97132873535156,151.44805908203125,0.37715949078413297,0.11393738839440593
2021_Q3,2022-01-21,0.26322210238972704,CTVA,43.829368591308594,44.3345832824707,0.0115268530530986,-0.25169524933662846
2021_Q3,2022-01-21,0.26322210238972704,DAL,37.183372497558594,36.49724578857422,-0.018452514199173976,-0.28167461658890103
2021_Q3,2022-01-21,0.26322210238972704,FSLR,76.81999969482422,149.91000366210938,0.9514449916381558,0.6882228892484288
2021_Q3,2022-01-21,0.26322210238972704,CINF,105.13936614990234,108.47676849365234,0.031742652309618286,-0.23147945008010876
2021_Q3,2022-01-21,0.26322210238972704,MAR,152.53790283203125,234.51483154296875,0.5374200588112665,0.2741979564215395
2021_Q4,2022-04-21,0.33956434935078383,EPAM,286.8399963378906,298.8299865722656,0.04180027327936192,-0.2977640760714219
2021_Q4,2022-04-21,0.33956434935078383,ACN,309.7655029296875,362.7200317382813,0.17095037474400032,-0.1686139746067835
2021_Q4,2022-04-21,0.33956434935078383,UBER,31.68000030517578,64.55000305175781,1.0375632080158734,0.6979988586650896
2021_Q4,2022-04-21,0.33956434935078383,SPGI,380.6937255859375,440.2322082519531,0.15639470436340422,-0.18316964498737962
2021_Q4,2022-04-21,0.33956434935078383,CINF,129.54176330566406,108.47676849365234,-0.1626116109158341,-0.5021759602666179
2021_Q4,2022-04-21,0.33956434935078383,FAST,53.3597526550293,67.9770736694336,0.2739390699373224,-0.06562527941346141
2021_Q4,2022-04-21,0.33956434935078383,INCY,76.86000061035156,61.5,-0.1998438783291249,-0.5394082276799087
2021_Q4,2022-04-21,0.33956434935078383,AMD,89.8499984741211,168.17999267578125,0.8717862607890976,0.5322219114383138
2021_Q4,2022-04-21,0.33956434935078383,RJF,104.8637466430664,111.52869415283205,0.06355816688918892,-0.2760061824615949
2021_Q4,2022-04-21,0.33956434935078383,CHRW,95.67634582519533,84.26073455810547,-0.11931487525607067,-0.4588792246068545
2022_Q1,2022-07-21,0.3338959658177491,SNA,197.18174743652344,279.614990234375,0.41805716740789306,0.08416120159014395
2022_Q1,2022-07-21,0.3338959658177491,MET,56.10515213012695,66.96992492675781,0.19365017978084706,-0.14024578603690205
2022_Q1,2022-07-21,0.3338959658177491,T,16.198226928710938,15.876866340637209,-0.019839244720304874,-0.35373521053805396
2022_Q1,2022-07-21,0.3338959658177491,J,106.86576080322266,110.89299774169922,0.03768500694897141,-0.2962109588687777
2022_Q1,2022-07-21,0.3338959658177491,TRV,148.3740997314453,209.18345642089844,0.4098380835975892,0.07594211777984011
2022_Q1,2022-07-21,0.3338959658177491,MCK,323.1078186035156,484.5060729980469,0.4995182570700415,0.1656222912522924
2022_Q1,2022-07-21,0.3338959658177491,GL,98.4034194946289,121.28987884521484,0.23257788670479215,-0.10131807911295695
2022_Q1,2022-07-21,0.3338959658177491,PH,258.26446533203125,467.2565612792969,0.8092173876052989,0.4753214217875498
2022_Q1,2022-07-21,0.3338959658177491,ELV,445.8706970214844,463.63916015625,0.0398511569687421,-0.294044808849007
2022_Q1,2022-07-21,0.3338959658177491,VLO,95.66100311279295,124.45448303222656,0.3009949611910665,-0.032901004626682606
2022_Q2,2022-10-21,0.4457529874457488,AAPL,145.33627319335938,192.73284912109375,0.32611663204461466,-0.11963635540113415
2022_Q2,2022-10-21,0.4457529874457488,TPL,691.3369140625,485.8408203125,-0.29724449768267724,-0.742997485128426
2022_Q2,2022-10-21,0.4457529874457488,MSFT,237.06591796875,392.7793884277344,0.6568361736397321,0.2110831861939833
2022_Q2,2022-10-21,0.4457529874457488,CF,101.5196304321289,72.6451644897461,-0.2844224887292796,-0.7301754761750284
2022_Q2,2022-10-21,0.4457529874457488,NOC,501.7940673828125,456.8541259765625,-0.0895585347205109,-0.5353115221662597
2022_Q2,2022-10-21,0.4457529874457488,GS,304.1474609375,374.97222900390625,0.2328632560275103,-0.21288973141823853
2022_Q2,2022-10-21,0.4457529874457488,PLTR,8.289999961853027,17.600000381469727,1.1230398627813354,0.6772868753355865
2022_Q2,2022-10-21,0.4457529874457488,GEN,20.612064361572266,22.990333557128903,0.11538238741338887,-0.33037060003235996
2022_Q2,2022-10-21,0.4457529874457488,CTRA,26.559724807739254,23.381309509277344,-0.11967049061953196,-0.5654234780652808
2022_Q2,2022-10-21,0.4457529874457488,MA,297.89556884765625,436.5730895996094,0.46552394615467674,0.01977095870892792
2022_Q3,2023-01-21,0.516919033692378,DHI,93.75196838378906,155.9507598876953,0.6634398463964543,0.14652081270407624
2022_Q3,2023-01-21,0.516919033692378,FSLR,176.2100067138672,149.91000366210938,-0.14925374297535898,-0.666172776667737
2022_Q3,2023-01-21,0.516919033692378,TSLA,143.75,208.8000030517578,0.45252176036005437,-0.06439727333232365
2022_Q3,2023-01-21,0.516919033692378,CINF,99.0312271118164,108.47676849365234,0.0953794238172062,-0.4215396098751718
2022_Q3,2023-01-21,0.516919033692378,CAH,72.16402435302734,103.029541015625,0.4277133507910139,-0.0892056829013641
2022_Q3,2023-01-21,0.516919033692378,PLTR,7.380000114440918,17.600000381469727,1.3848238629469234,0.8679048292545454
2022_Q3,2023-01-21,0.516919033692378,LEN,93.15161895751952,148.86317443847656,0.5980739369260293,0.08115490323365127
2022_Q3,2023-01-21,0.516919033692378,AAPL,139.48814392089844,192.73284912109375,0.381714916433253,-0.135204117259125
2022_Q3,2023-01-21,0.516919033692378,ISRG,255.97999572753903,375.80999755859375,0.46812252453742453,-0.04879650915495348
2022_Q3,2023-01-21,0.516919033692378,EG,326.0616455078125,367.1125793457031,0.1258993027958176,-0.3910197308965604
2022_Q4,2023-04-21,0.34096005657577527,KEY,10.273870468139648,13.32155418395996,0.2966441639761274,-0.044315892599647855
2022_Q4,2023-04-21,0.34096005657577527,NVDA,27.10140037536621,59.63161087036133,1.2003147455274459,0.8593546889516706
2022_Q4,2023-04-21,0.34096005657577527,AES,22.111591339111328,15.86552619934082,-0.2824792229549924,-0.6234392795307677
2022_Q4,2023-04-21,0.34096005657577527,ENPH,223.61000061035156,107.1500015258789,-0.5208174892294213,-0.8617775458051966
2022_Q4,2023-04-21,0.34096005657577527,AAPL,163.37245178222656,192.73284912109375,0.17971449297953998,-0.1612455635962353
2022_Q4,2023-04-21,0.34096005657577527,LVS,61.135311126708984,46.827205657958984,-0.2340399550612417,-0.575000011637017
2022_Q4,2023-04-21,0.34096005657577527,NCLH,13.039999961853027,17.479999542236328,0.3404907663628829,-0.0004692902128923815
2022_Q4,2023-04-21,0.34096005657577527,MTCH,34.50737380981445,35.79201126098633,0.037227911293745086,-0.3037321452820302
2022_Q4,2023-04-21,0.34096005657577527,F,10.282350540161133,10.136137962341309,-0.014219762032887565,-0.3551798186086628
2022_Q4,2023-04-21,0.34096005657577527,AMT,192.36488342285156,197.33740234375,0.025849410934156696,-0.31511064564161856
2023_Q1,2023-07-21,0.31237481929058425,MOS,36.69694519042969,30.784273147583008,-0.1611216413836175,-0.47349646067420176
2023_Q1,2023-07-21,0.31237481929058425,APO,78.55952453613281,95.74334716796876,0.21873633697887762,-0.09363848231170663
2023_Q1,2023-07-21,0.31237481929058425,PHM,77.08732604980469,108.2686538696289,0.4044935713515156,0.09211875206093134
2023_Q1,2023-07-21,0.31237481929058425,MCK,410.6940307617187,484.5060729980469,0.17972514014734567,-0.13264967914323858
2023_Q1,2023-07-21,0.31237481929058425,PSX,99.60833740234376,124.42699432373048,0.2491624453195897,-0.06321237397099455
2023_Q1,2023-07-21,0.31237481929058425,ADM,77.5063247680664,49.33781814575195,-0.36343494168517504,-0.6758097609757593
2023_Q1,2023-07-21,0.31237481929058425,LULU,382.9599914550781,481.8900146484375,0.25832991800910887,-0.05404490128147538
2023_Q1,2023-07-21,0.31237481929058425,PFG,78.68387603759766,75.86495971679688,-0.03582584466802085,-0.3482006639586051
2023_Q1,2023-07-21,0.31237481929058425,CTVA,55.18563461303711,44.3345832824707,-0.19662818787269945,-0.5090030071632837
2023_Q1,2023-07-21,0.31237481929058425,ALGN,337.3699951171875,271.6099853515625,-0.19491955632504562,-0.5072943756156298
2023_Q2,2023-10-21,0.2327745519657092,RL,113.15125274658205,137.28604125976562,0.21329669736168802,-0.019477854604021183
2023_Q2,2023-10-21,0.2327745519657092,ROL,32.49909210205078,43.35917282104492,0.3341656648404907,0.1013911128747815
2023_Q2,2023-10-21,0.2327745519657092,APA,39.40226745605469,29.618471145629883,-0.24830541342161752,-0.4810799653873267
2023_Q2,2023-10-21,0.2327745519657092,EG,379.5435485839844,367.1125793457031,-0.03275241875315543,-0.26552697071886466
2023_Q2,2023-10-21,0.2327745519657092,DECK,82.40833282470703,127.9499969482422,0.5526342126154653,0.31985966064975613
2023_Q2,2023-10-21,0.2327745519657092,VST,31.33921813964844,39.50249481201172,0.2604811848204855,0.027706632854776286
2023_Q2,2023-10-21,0.2327745519657092,PANW,123.08499908447266,172.8249969482422,0.4041109658670364,0.17133641390132717
2023_Q2,2023-10-21,0.2327745519657092,HIG,67.5716323852539,83.78282165527344,0.23991116830791975,0.00713661634221055
2023_Q2,2023-10-21,0.2327745519657092,TJX,86.54309844970703,93.5487289428711,0.08094961491626347,-0.15182493704944572
2023_Q2,2023-10-21,0.2327745519657092,LII,346.0924072265625,450.93890380859375,0.3029436485539412,0.07016909658823198
2023_Q3,2024-01-21,0.34675830039433037,CBRE,87.41000366210938,87.41000366210938,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,BRK-B,368.05999755859375,368.05999755859375,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,STX,83.93550872802734,83.93550872802734,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,DVN,39.499881744384766,39.499881744384766,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,HPQ,27.942150115966797,27.942150115966797,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,EXPD,127.12555694580078,127.12555694580078,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,NCLH,17.479999542236328,17.479999542236328,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,UAL,38.45000076293945,38.45000076293945,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,LEN,148.86317443847656,148.86317443847656,0.0,-0.34675830039433037
2023_Q3,2024-01-21,0.34675830039433037,WYNN,90.81986236572266,90.81986236572266,0.0,-0.34675830039433037
2023_Q4,2024-04-21,0.13871213301758098,IRM,73.67804718017578,64.65931701660156,-0.12240729102821346,-0.26111942404579447
2023_Q4,2024-04-21,0.13871213301758098,EL,144.16639709472656,121.89269256591795,-0.15449997348670202,-0.293212106504283
2023_Q4,2024-04-21,0.13871213301758098,MA,454.078369140625,436.5730895996094,-0.03855122976711176,-0.17726336278469274
2023_Q4,2024-04-21,0.13871213301758098,NVDA,79.49187469482422,59.63161087036133,-0.24984017424055052,-0.3885523072581315
2023_Q4,2024-04-21,0.13871213301758098,AMT,168.1534423828125,197.33740234375,0.17355553087339284,0.034843397855811864
2023_Q4,2024-04-21,0.13871213301758098,SCHW,73.22718048095703,62.4937629699707,-0.1465769600917188,-0.2852890931092998
2023_Q4,2024-04-21,0.13871213301758098,DXCM,131.52000427246094,129.2899932861328,-0.016955679089763143,-0.15566781210734412
2023_Q4,2024-04-21,0.13871213301758098,VRSK,221.8658905029297,241.6377868652344,0.08911643118050015,-0.04959570183708083
2023_Q4,2024-04-21,0.13871213301758098,EPAM,246.9499969482422,298.8299865722656,0.2100829733352735,0.07137084031769253
2023_Q4,2024-04-21,0.13871213301758098,ENPH,110.51000213623048,107.1500015258789,-0.030404493216908617,-0.1691166262344896
2024_Q1,2024-07-21,0.11605302827680816,EBAY,53.195125579833984,40.09614562988281,-0.24624398959811708,-0.36229701787492524
2024_Q1,2024-07-21,0.11605302827680816,GDDY,147.17999267578125,108.2300033569336,-0.2646418756430401,-0.3806949039198483
2024_Q1,2024-07-21,0.11605302827680816,AMT,206.0274353027344,197.33740234375,-0.04217900856852082,-0.158232036845329
2024_Q1,2024-07-21,0.11605302827680816,EXPE,134.17840576171875,145.35494995117188,0.08329614684274185,-0.03275688143406631
2024_Q1,2024-07-21,0.11605302827680816,KLAC,803.9797973632812,616.2172241210938,-0.23354140720696032,-0.34959443548376845
2024_Q1,2024-07-21,0.11605302827680816,DVA,139.9600067138672,104.62999725341795,-0.25242932098937054,-0.36848234926617873
2024_Q1,2024-07-21,0.11605302827680816,TRV,202.8430633544922,209.18345642089844,0.031257628244973135,-0.08479540003183503
2024_Q1,2024-07-21,0.11605302827680816,AON,297.9561462402344,303.8778991699219,0.019874578874815165,-0.096178449401993
2024_Q1,2024-07-21,0.11605302827680816,HD,356.90069580078125,345.96673583984375,-0.03063586058974998,-0.14668888886655815
2024_Q1,2024-07-21,0.11605302827680816,RJF,108.82999420166016,111.52869415283205,0.024797391297947176,-0.091255636978861
