symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover,cluster
APO,2023,Q1,-0.3876017678361375,-1.6378228047716488,8.121111424014734,2.881121488209337,0.5105739054856563,-0.8146978642551183,1.6426487021049745,-0.3226010911473126,0.4426126790850807,0.2078800636848143,2.30152366541105,0.91587685728477,0.7759113922802953,1.8021033615079276,-0.6305169909097333,16
LII,2023,Q1,-0.2282996687346924,-0.7012921202421095,-0.7102195541409739,1.031704070883329,-0.1937071166851989,0.0467960752080351,-1.3674827693212113,-0.1633022049509383,-0.4888635996723137,-0.8477942008116187,-0.5794339046350642,-0.9127455161398952,1.969240150919005,1.6905620023240535,-0.0448786355087328,13
WDAY,2023,Q1,0.1894979262870192,0.5204177696471561,-0.7102195541409739,-0.6570750667988837,-0.9324185104012732,-3.1557523878552183,1.045179374213759,1.058183110001225,0.3408337867561168,0.1828768906658598,0.4687572995690379,0.1709154312438107,-0.1009591952147611,-0.1855783804417132,19.045088758308346,5
TPL,2023,Q1,3.3821688801508176,3.7187707438879833,1.244604662515522,3.5572309747542445,2.9121844329562925,0.5425266184533255,1.3920538877487847,1.8647420889188937,1.098132946645069,0.9637457644139577,44.44483301247816,-0.9088874812499224,-1.6297415805519166,0.1313676855507395,-0.5618441206159196,6
DELL,2023,Q1,-0.6266938445380947,-0.5364481256717827,-0.7102195541409739,-0.0715400194653485,-0.5995716650177871,-0.9049871010936016,-1.3674827693212113,-1.4179838930543758,-0.4888635996723137,-0.8477942008116187,-0.5794339046350642,-0.9127455161398952,1.9348933491976992,1.146137082459571,0.7943034099989494,13
ERIE,2023,Q1,-0.0489425365630414,0.2591629851668514,0.3994389910035327,1.191160148265067,-0.0292483760437367,0.3565729548806326,0.6977829612082459,0.2731363941999907,-0.0572278856154183,-0.1294573654432413,-0.5794339046350642,-0.9127455161398952,-1.6297415805519166,1.4168194772219207,-0.6407082704010146,9
PLTR,2023,Q1,2.1195395839765623,2.6279976149148445,-0.5891772491146872,-0.4359622016205921,-0.671855638362122,2.4889464965779937,0.6089861715663469,1.0082616910282636,-0.4145516408478435,-0.7614718150137788,5.381217237977572,-0.7612102333344001,-1.6297415805519166,0.0505735227284069,1.6480669335889533,11
CRWD,2023,Q1,0.3993071644361254,0.6753494725375052,-0.7102195541409739,-0.6570750667988837,-0.9324185104012732,-3.1557523878552183,2.279890052500154,1.887645801181674,-0.0161342825959516,-0.1684703368583494,2.1141789703084037,-0.0288896958457319,-0.0395537890467012,-0.0679669435583945,0.015015322957915,14
GDDY,2023,Q1,-0.7097187705468396,-0.7337578978972503,-0.7102195541409739,-0.3341590439014145,-0.5630229019652676,1.0535984842775552,-1.3674827693212113,0.0881571047889683,0.3676958273925347,0.1789408596352959,0.1486066406788871,-0.9127455161398952,1.873224273676432,0.0771296011627195,-0.0523686310409504,13
KKR,2023,Q1,0.050672343041095,-1.6378228047716488,-0.3727944731276889,-0.5986658398693421,-0.0687922648878078,0.4167807994203222,-0.1993293269689987,0.2850950410586994,-0.4888635996723137,-0.8477942008116187,-0.5794339046350642,1.083602518765634,0.8613271540925608,-1.01789986501971,-0.5895447926045919,3
VST,2023,Q1,-0.1590711221084715,0.0551819078879916,1.771752371915703,0.4221358743748052,0.2811036250073999,-1.6828115811670847,-0.3705479501586551,-1.177038895118041,0.6261319596753784,0.7295009823755202,0.5810100651241874,1.1599231931868716,0.8596535972922503,0.047618683009204,0.98173080609091,0
DECK,2023,Q1,0.8109037437299665,0.3636552740493903,-0.1196515195864808,0.2021955945957317,-0.3495214435200555,0.5509342361272203,0.3257208133948858,0.0564948288998345,-0.4888635996723137,-0.8477942008116187,-0.5794339046350642,-0.6939021219304985,-1.6297415805519166,0.7961354572142705,-0.3201124626521629,3
SMCI,2023,Q1,0.6126504436782196,-0.2294325614494076,1.405515732182972,1.9836218356398407,-0.1470497286188286,-1.543178188575593,-0.365907105085358,-1.3420309260672207,-0.0821717631605651,-0.3738192294682218,8.341362746916483,-0.6747013533048173,-1.250878077978834,2.7740285049940736,-0.0205882382127184,11
BLDR,2023,Q1,0.4005152247588251,0.0655966735992272,0.6521651163259615,0.8665088610882937,-0.250146141576955,-0.8164132579781871,-0.1106846776209754,-0.912367505569988,0.9510906594113696,0.9293742532528266,1.2048109114304484,0.0616382428831105,-0.0218956567831548,1.6389105556959689,0.4102189249034433,0
JBL,2023,Q1,-0.3035823399625236,-0.5949449487292489,0.9530163605974428,-0.1316233239981939,-0.7430987150859475,-0.6512825528273476,0.1769571964451666,-1.5614333861999783,-0.4888635996723137,-0.034238102999491,-0.0605563785321383,0.5133599119391384,0.2945283423238106,2.2488049589528054,0.2220781731983392,0
UBER,2023,Q1,-0.2647142103736001,-0.095596851657882,-0.7102195541409739,-0.6570750667988837,-0.9324185104012732,-3.1557523878552183,0.8336033005375958,-0.2936111238369135,-0.2728551018131417,-0.5806513642190528,0.0045700569644863,0.5967641569590534,0.44110931960603,0.9861974494283842,1.272955426145652,14
HUBB,2023,Q1,0.5213477043984035,0.2304682868410259,0.6868984799471852,0.9290571923335827,0.1626922613590661,-0.1831152173224192,0.4292910302385908,-0.0195326781545546,0.3299416754654762,0.3059064199745684,0.2521803290870094,-0.147186955499675,-0.1545129126951128,0.7260001426563202,0.0839337679854805,9
LULU,2023,Q1,0.8057607277016186,0.1455383716758595,0.9402105912129192,1.8112838925204968,0.1889812613048717,0.6506996752803206,1.330135666842183,0.7248996869318305,-0.4888635996723137,-0.5379240872412344,-0.1345691668667518,-0.4365547795106368,-1.6297415805519166,1.565084774400444,-0.2131013278091095,9
ABNB,2023,Q1,0.1799649242409106,0.5099726366265873,-0.2797258394415729,-0.3739627062877139,-0.4163599930546157,2.033479002138993,1.3394775812719824,1.2242824297139152,0.6299153983344066,0.4228985960285765,5.105665053182848,-0.3037961173135543,-0.4923784213471978,-0.3541389999249142,-0.6407082704010146,11
BX,2023,Q1,5.601708135757717,6.209102013711146,-0.4734572086038326,-0.5557175104677416,-0.4003911022381341,2.1589397842247138,0.9087745351780334,1.361986732599731,-0.2011022166232046,-0.4553804596098016,-0.2934036515873962,0.8500978181014164,-1.6297415805519166,-0.8425743214022995,-0.6236190393854075,12
PANW,2023,Q1,-0.6672877487690133,-0.4821294069035651,0.0498109589664506,-0.5796797601785005,-0.8272422800777078,3.382911725481715,3.160190028972845,0.9819188869798952,0.4926216021041437,0.2866540638765996,2.5988178479470525,2.5994719967792164,-1.6297415805519166,-0.0876776593766954,0.1480599436610971,9
AXON,2023,Q1,1.2957910722340191,1.5345167462783809,-0.086946741286219,0.0665319449392728,0.0904136292828344,1.4095942152386054,1.1146879187953669,1.3061997519970838,-0.4888635996723137,-0.8477942008116187,-0.5794339046350642,-0.2310252460177534,-0.3051370160080304,-0.1702484489749882,-0.1548133075124959,9
FICO,2023,Q1,0.0241045208015068,0.3391992886294661,-0.7102195541409739,2.490609900472487,1.1303343722894978,0.5578307058846644,-1.3674827693212113,1.2260492439667676,0.8869626518763039,0.7188371450371226,-0.0769176907031585,-0.9127455161398952,3.1576839695955656,0.7393950925663404,-0.6407082704010146,13
BG,2023,Q1,0.4021254839506033,-0.0798061180717068,0.4173421741712368,0.4624493473880977,-0.5981085998559936,-1.2372343700198998,-0.5367823060687468,-1.5955387490799,1.121092876492484,1.153577268708002,0.8639679711583385,-0.1120665564198789,-0.4417450223150767,2.7984091466962147,0.3010706507333534,0
PODD,2023,Q1,1.3617191555583867,1.2177163293834294,0.2000646832550056,-0.1545890815940277,-0.400008823137207,2.359903380199198,2.360023522284723,1.539273974567039,-0.4888635996723137,-0.8405369753022137,-0.5755085457964039,1.3004982044030513,0.9557222669703632,0.1556928566662617,-0.3765442171358305,9
GEHC,2023,Q1,-0.1583934751089798,-0.1715989740967926,0.3548791768576323,-0.1064841291015823,-0.3030602345188097,0.1391237341382938,0.4738873275631934,-0.2208679371129685,-0.0059985297511226,-0.1297230934839028,-0.0893096875537536,0.6332673526782928,0.5979130025710234,0.063021606943786,0.1641916178114242,3
STLD,2023,Q1,1.6605580698470772,1.2504893920083564,0.7396942195242814,1.4728433786521375,0.0806080726193778,-0.9791947644901998,-0.1913262156678623,-0.747469466728946,0.7413529768124663,0.8380037128517849,1.7771919378323162,-0.3919824979902104,-0.5204154117525565,1.4682515053237608,0.1797882668300502,0
FSLR,2023,Q1,1.1717133232682992,1.2046633285757118,-0.5679949859570982,-0.4162576915397605,-0.3138461675085596,1.8202327656483157,0.1980438223934059,1.2024060545683355,-0.4888635996723137,-0.8477942008116187,-0.5794339046350642,-0.8242345834424757,-1.392018068044983,-0.5712488179498497,-0.1858926463823305,9
ACGL,2023,Q1,3.307863357067696,4.436003805493586,0.2709794830818487,0.017917157692017,0.7837769007140738,-0.857036662571354,-0.3663612914874021,-0.2083947672603681,0.654705435310367,0.4566680883201804,2.7380845050458595,-0.6162585170365846,-0.9180901626244192,-0.5984974806237654,-0.6407082704010146,12
TRGP,2023,Q1,-0.7112385890286401,-0.5556860840520496,2.793619167368661,0.595686274502879,-0.0693535301656634,-0.9004619772768458,0.6006379350265146,-0.8057537544369588,0.7655460492005659,0.9961228665889358,0.4242094738944953,2.0102394072640384,1.177747553555271,0.7477077228435878,2.448553596430378,0
EQT,2023,Q1,3.279597521418949,3.9061824643415455,0.1572249529460743,0.9965935654535072,0.7911402253401362,-0.6471509835619895,-0.3007837451227861,-0.0190867313795093,-0.0157886645074253,-0.2752708142066341,3.0883450656463647,-0.689314686305595,-1.0725988004361415,0.1032770992403787,16.544460589943345,15
PCG,2023,Q1,-0.4841029153587822,-0.2907258059578513,-0.3121611158028293,-0.4253117717158429,-0.2032654394406026,-0.4132608293107583,-0.6186010131915098,-0.5496452417294714,-0.4888635996723137,-0.374465465101134,-0.3253725974260855,0.8052463934036082,0.6832513507688336,-0.6711365819944999,1.1274873004455523,3
