symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover,cluster
APO,2024,Q1,-0.5371186700146441,-0.2798833905362566,1.2079117298705242,-0.5063830328733776,0.5900730588185094,-0.6471633469762459,0.2229765282909779,-0.1699554394927563,0.2232570509799469,-0.0751089230749506,0.2205794100058531,-0.0946094292364754,-0.033982424734358,-0.941342644427422,-0.5163335229963174,14
LII,2024,Q1,0.1784875074685712,-0.4944761180081053,5.428650762713628,1.5000672786847824,-0.0180489473442073,0.4593005221990961,2.241985307065554,0.2737392012706464,-0.4902208408566532,-0.885584447350094,-0.6282059680089163,1.9697908571249336,0.9981338530415308,1.6434198022514426,-0.0142379598232171,12
WDAY,2024,Q1,0.6602291762545068,0.9590006488257612,-0.7521763785532277,-0.7399543050829411,-0.9596756107796148,8.765758445243474,0.6986324243155272,0.726331930735548,0.0422576076315301,-0.1415439150885712,0.3414169830008927,-0.2032095140216079,-0.2313769683242569,-0.028773585306712,0.4193013903431137,0
TPL,2024,Q1,4.156625136171384,4.74538881124002,1.3130670228790084,4.036582548710083,3.2820361785067016,0.2649450058218434,1.0079246819418135,1.5370759165771588,1.298143166869261,1.1594280371278338,57.54099895341187,-0.9508846434069456,-1.5366955142456686,0.0626366513352151,12.828366015248074,9
DELL,2024,Q1,-0.6474909523171906,-0.5322072609988296,-0.7526634689065481,-0.3610427393337355,-0.7294781479151531,-0.4544444493652248,-1.3616790028006849,-1.3654426224797949,0.3289097902979432,0.380940597105966,0.0695174693436087,-0.9525634200263666,1.935882151245613,0.9184661122648654,0.7807546002750684,11
ERIE,2024,Q1,0.0409153788189524,0.3389783451454651,0.73001264489337,1.8730412678433093,0.1510373898595728,0.5423704223557534,0.9424873186970072,0.4813639155669504,0.2935371803209682,0.1923945032296454,-0.6282059680089163,-0.9525634200263666,-1.5366955142456686,1.6007364516114917,-0.5163335229963174,7
PLTR,2024,Q1,2.7698341475250428,3.260646037807725,-0.1659437987116161,0.4522381232733041,0.332366799214453,1.756056478098158,1.12499906958554,1.5842599901742151,-0.440077225512645,-0.8274615368326874,4.922861810303403,-0.8566603060938647,-1.5366955142456686,0.0110406971481978,-0.5163335229963174,6
SW,2024,Q1,-2.014765513634499,-1.8618993499982808,305.39363742861985,789.4135040832026,-0.4298663044779384,-0.2733118429229786,15.976820027593016,-0.7294382953900049,-0.4902208408566532,-0.885584447350094,-0.6282059680089163,-0.9525634200263666,-1.5366955142456686,156.98500697575133,-0.5163335229963174,1
CRWD,2024,Q1,0.5186666607879841,0.7635029161452999,-0.7461553297286911,-0.735269160929784,-0.95440064096272,6.827350259330355,1.3580396166652526,1.0154975092060052,0.1165171251104295,-0.0468057178359181,3.180870540195229,-0.262926321782737,-0.2924483060543664,0.0341909378621621,0.0058585147882846,0
GDDY,2024,Q1,-0.9308627574573608,-0.7014384013942973,13.654469500523868,1.9561304370258028,1.6394222207829945,-0.7205440205757516,2.136187100846433,0.2302000958423923,0.5140163341880293,0.2654537807747776,0.2378186389010391,3.074083274101069,1.375742333841225,0.0661345992343632,15.624822192394811,8
KKR,2024,Q1,2.0540152787271166,2.494267468116341,-0.0854733145086722,-0.6303447702780252,-0.3836728289993802,0.3905484396430589,0.1628635018327175,-0.1846699975643309,0.6382810199738346,0.4020152756602973,-0.1076956387150166,1.1091211528421816,0.8469269061203774,-0.8766057965476188,-0.5163335229963174,10
VST,2024,Q1,-0.2079932093163888,-0.0735081374729188,-0.7526634689065481,-0.7405179558863368,-0.9603538666002968,-3.3380643677872004,0.2127077423498569,-0.2085533828754939,-0.4902208408566532,-0.2330118751270453,-0.4049872572598942,1.3834720703511727,0.9265736983369324,-0.4817580001658801,0.5493422690606086,16
GEV,2024,Q1,-0.3105709501862771,-0.4704080726074208,-0.7526634689065481,-0.7405179558863368,-0.9603538666002968,-3.3380643677872004,0.1940319307699463,-0.5954400930860377,-0.4902208408566532,-0.885584447350094,-0.6282059680089163,-0.7677193224900352,-1.5366955142456686,0.170392694320788,-0.0914751185414942,16
SOLV,2024,Q1,0.5441061512581992,0.37486081752784,0.5183197763173802,0.1373153308226472,-0.026683321598309,-0.5659589601367895,-0.0465954508219186,-0.5182462270258174,0.4884495763499648,0.4115130401689119,-0.0131437012316203,1.019030161593533,0.8230206328540322,0.0524156561378001,0.0185842983073684,14
DECK,2024,Q1,1.3892964126314735,1.0046395993580366,-0.01510581405578,0.4717088546826401,-0.2053510581104301,0.9254153901910142,0.6508060529481994,0.4489577800145464,-0.0662964645717383,-0.2862508481351058,4.026300046883238,-0.7208730041916632,-1.5366955142456686,0.8330101703872902,-0.2183181285411657,6
SMCI,2024,Q1,0.883562103400184,-0.0976962039984956,0.7369121240349735,1.3254211713634132,-0.3601427271774061,0.0464585262071992,0.5439836698506424,-0.4083139768532039,-0.1228733787910145,-0.4649362311903702,11.789975707965263,-0.8404609030724359,-1.3310902795687285,2.7188430639214665,-0.0135756038664125,2
BLDR,2024,Q1,0.8746428254063093,0.5146920664556404,0.3303642247879932,0.5176457962251805,-0.4195113698073662,0.0904235694668839,0.3170836995615337,-0.4563599556787062,0.447400143676356,0.4232537965616873,0.2261265319321361,0.1088976362434947,0.0764303058411619,1.6275637992729155,0.3487795424524704,13
