symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover
APO,2021,Q3,0.26010572312374636,0.4943404171627928,0.9346885474631835,-0.2883052136666336,0.720437363139394,-0.4106166700541458,0.2888280867788849,0.06874379247026476,0.8480450103879734,0.7047800809713736,-0.07737250313953245,2.3112085420807187,1.2025549506299242,-0.7520298226268223,-0.7294833923044588
LII,2021,Q3,-0.34547070047607037,-0.6002449590229629,-0.8307279185877691,1.834566774072441,-0.1264544293824923,-0.024340476246920713,-1.346496218660194,-0.1546413305145635,1.0440013411384874,1.021989215393214,0.5316269003479359,-0.9778960302934917,2.6943897076650396,2.419139696154994,0.20000036590200304
TPL,2021,Q3,3.901639623557367,3.6193497327290656,1.6457051306363144,4.277169156926006,3.235290571769633,0.23251365616555683,1.093678605973967,1.4461598205974027,0.5755398498226932,0.4622687674762854,30.177178321226137,-0.9711063736302428,-1.5879610547217737,0.33731722625504845,-0.6658456593768389
ERIE,2021,Q3,-0.06048832764163367,0.18091441905951522,0.45440623137410385,1.0397681771751515,-0.06589519125233294,0.1567039949898866,0.4865059104755128,0.04001120239812589,0.39433312648799185,0.24171048681244742,7.064277214064191,-0.8517353807104603,-1.2909882637574803,1.299651829785854,17.81240496131114
PLTR,2021,Q3,1.715669672823748,1.8908189589872089,-0.8307279185877691,-0.6846400920641451,-1.0611867644922897,-3.1526325481668094,1.3387668891173516,1.8274771638203648,-0.8285631974015523,-1.20067621067768,2.117304946867479,-0.7804570528820983,-1.5879610547217737,-0.08460641587822154,0.34623600864544807
GDDY,2021,Q3,-0.7860870616136005,-0.780696617453775,-0.8307279185877691,-0.10596511930414469,-0.2612368744293311,0.29934611306791103,-1.346496218660194,-0.024397374207776323,-0.7510491856550866,-0.25892165666871,-0.22352481260608015,-0.9778960302934917,1.6527057459102708,-0.004418677902103255,-0.19205143961145923
KKR,2021,Q3,-0.07787474332800498,0.16391674354499333,0.4223167933460086,-0.4953235959083976,0.844275882747725,-0.9799845443626779,-0.36478091426494424,-0.3453265868985212,-0.8776535567839282,-1.259218410042204,-0.6973684303130533,1.2421807124381175,0.8735010620730382,-0.9307976985541375,-0.7294833923044588
VST,2021,Q3,-0.44240290642581753,-0.26010486607942995,-0.8087464960375272,-0.674444076325827,-1.0417779697247709,2.5695322091618156,-0.5980665452624314,-1.0641572585398182,-0.3511012670851379,-0.353412637954923,-0.28594112289918455,0.9361679875143439,0.6659689361828296,-0.2531714487399199,0.8965830887464784
SMCI,2021,Q3,0.5660879405508307,-0.24869108929049946,-0.5019391608940208,-0.28448823609325324,-0.8921334505412003,0.19218361367049533,-0.42894208581641724,-1.196390192531854,-0.8776535567839282,-1.259218410042204,-0.6973684303130533,-0.838994913447265,-1.4713189432254596,2.120853628342371,-0.14215674873492423
BLDR,2021,Q3,0.5545222716837072,0.11639922666937336,1.165702722429895,1.7211331922360185,-0.18493517204380294,-1.4735281318195292,-0.41762550973521095,-1.274625045635666,0.9967302107325681,0.9161377614008004,2.1278001258882298,-0.2299723632665076,-0.3694405733576105,2.4793432448527857,0.4191720086248666
JBL,2021,Q3,-0.38413514643544944,-0.6274197905105717,0.6160333428490398,-0.21767376528613466,-0.8684003867130936,-0.54747780173307,0.03579876945067774,-1.5255431109558875,0.4145734910557063,0.6119042476200347,0.7022977266405802,0.7009402440340963,0.4910725860824223,2.181086731162787,0.20412338185087933
