symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover
APO,2024,Q4,-0.43591916293697947,-0.22908686360830308,0.8728560307105374,-0.534428662503245,1.0070137914121644,-0.2856357599644458,0.36775594796389904,0.32448131689841286,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.03280387020861333,-0.001193755122542156,-0.9681716008600016,-0.5523589597871268
LII,2024,Q4,0.23616285407960055,-0.09913577806950889,3.2035359988133894,2.0329820954722697,0.13688801753539084,0.23382952965523335,1.588642938024014,0.22831408727196437,1.2170272589284326,1.2850155145202466,0.7147542995698555,0.9146489520049647,0.2865473403108951,1.8736122698311104,0.3144058987298314
WDAY,2024,Q4,0.6408437785241923,0.9570414143766922,1.8787831508917412,2.749846635155264,2.8625787496700563,-0.29622950222494904,0.7707295289245698,0.9560995601656348,0.6002233733486915,0.4256374113098235,1.1322714652723043,-0.27523019688636885,-0.33773753637391335,-0.09892075245973182,-0.5523589597871268
TPL,2024,Q4,3.2266238152596034,3.805455586263894,1.1822431922822787,3.790456912121259,2.932884086156355,0.9031148157019915,1.47604035397678,1.968192990229571,-0.9089430168248928,0.7710764542970192,37.072137969882,-0.8820754965080124,-1.296104116318641,0.16372178010045912,-0.5523589597871268
DELL,2024,Q4,-0.5097965025963236,-0.417937475084678,-0.6499700783202687,-0.03012846697619766,-0.5426659709396777,-0.483833512158707,-1.285486309022315,-1.0454040470394717,-0.161712996576739,-0.04388431257415523,-0.2617647769740694,-0.8827858799600475,1.7694808474662131,1.0856257521452117,1.2943747479468914
ERIE,2024,Q4,-1.743992319649341,-1.6700192184534473,0.7087406190198788,1.828916019749137,1.9739078016984448,0.359896133366021,0.7795248644131576,1.232947377101311,0.503875758705785,-1.3328894573174623,-0.6335780103715438,-0.8827858799600475,-1.296104116318641,-0.08948546645100555,-0.5523589597871268
PLTR,2024,Q4,2.572908282867247,3.085343063003777,-0.36118416186183094,-0.11239479338018268,-0.22422852115853503,3.2898475764695854,1.8474428784562433,2.3269936878308113,-0.7301504945082894,-1.1283292446637054,6.5449525374967275,-0.7998263446441567,-1.1479869570444936,0.017731953628972893,-0.5523589597871268
SW,2024,Q4,0.17734610644884008,-0.11332833073666614,-0.3341743351763381,-0.3893507353792672,-0.6342103066892899,0.044444030808262966,-0.4571740339953305,-0.8709294791889303,-0.5643560156595151,-0.28682543349013834,3.0783123489265125,-0.7781851407797358,-1.296104116318641,0.3466317509592539,0.5090114414056714
CRWD,2024,Q4,0.4434561612361158,0.7396054069320649,-0.22531039467481964,-0.3287566369037138,-0.4568663520101065,2.754697269908675,1.7366029111920565,1.5572567400946817,-0.160325197231868,-0.3304485519396411,1.7949804229911641,-0.35745370274683513,-0.41980383841473473,-0.00892899786860309,19.78862458494803
GDDY,2024,Q4,-0.532854821924116,-0.33586814465213916,3.9998759222851463,0.4586863807834308,0.269630166027198,0.4773082663695096,1.9738231242630853,0.5213523260445049,0.2710913815909939,0.042939626817818766,-0.06968338447480941,2.467558927285723,1.1651003811322826,0.13172241959423966,-0.5523589597871268
VST,2024,Q4,10.326236146393649,11.643738301259324,-0.6499700783202687,4.441984085456863,-0.940876467537598,-3.2265928592657294,-1.285486309022315,-2.152921869724347,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.8827858799600475,-1.296104116318641,-1.0939977340537907,-0.5523589597871268
GEV,2024,Q4,-0.11649022712126762,-0.187087846263257,0.26162181773586923,-0.263391868179834,-0.5886243062799441,0.7623794154171881,0.7707514090165738,-0.26357943284727525,0.20132823698533073,0.3185040035184234,3.6002919029498477,-0.6985993624989859,-1.191742800268793,0.5966184168691213,0.22463720922365696
SOLV,2024,Q4,0.012603796614135274,-0.1686344068968949,-0.46404220055574436,-0.626813251521682,-0.8280139748087179,1.4885531794826998,0.10047468782653754,-0.5840209654616397,-0.48841058481890637,-0.4154122236580869,-0.4531284191642147,1.4445071606546216,0.8949815504252069,0.12099735208801624,0.17803288487995247
DECK,2024,Q4,1.5499053014159492,1.5602358445705375,0.4330611486385044,1.2590786215998138,0.03970785618067957,0.7625719575535639,0.9121949402833259,0.5676637317117799,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.6709932481210872,-1.296104116318641,1.326184323122504,0.12128905779651769
SMCI,2024,Q4,1.7311393178785546,0.9676378651247748,0.5019185672878371,1.0090198842318563,-0.435277257168688,0.4361432837662906,0.704847797463969,-0.22819232420772528,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.28829407066249013,-0.41671989920225544,2.7830446065445233,0.219526415038249
BLDR,2024,Q4,0.5212242568551746,0.13150120445723093,-0.6491541544193654,-0.729344652268735,-0.5590384558562089,-0.010353422588032204,-1.2821493061422147,-0.7584269781224094,6.775011589123472,7.752864627593064,2.4718860051426867,-0.6389556798292788,-0.8807029586698011,-1.0907266903077966,-0.5500966093241438
JBL,2024,Q4,-0.10820858069760282,-0.33672875506272715,0.7591023787114752,-0.3349850039637898,-0.7866667424646104,0.10469310061822201,0.6082193867069684,-1.2562354697298526,0.5453809390296299,0.5555814361106766,0.38385775962129853,0.9930815545977603,0.6514999005818811,1.9643044575659405,0.4091748862600752
