symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover,cluster
APO,2024,Q4,-0.4359191629369794,-0.229086863608303,0.8728560307105374,-0.534428662503245,1.0070137914121644,-0.2856357599644458,0.367755947963899,0.3244813168984128,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.0328038702086133,-0.0011937551225421,-0.9681716008600016,-0.5523589597871268,15
LII,2024,Q4,0.2361628540796005,-0.0991357780695088,3.2035359988133894,2.0329820954722697,0.1368880175353908,0.2338295296552333,1.588642938024014,0.2283140872719643,1.2170272589284326,1.2850155145202466,0.7147542995698555,0.9146489520049648,0.2865473403108951,1.8736122698311104,0.3144058987298314,16
WDAY,2024,Q4,0.6408437785241923,0.9570414143766922,1.8787831508917407,2.749846635155264,2.8625787496700563,-0.296229502224949,0.7707295289245698,0.9560995601656348,0.6002233733486915,0.4256374113098235,1.1322714652723045,-0.2752301968863688,-0.3377375363739133,-0.0989207524597318,-0.5523589597871268,16
TPL,2024,Q4,3.2266238152596034,3.805455586263894,1.1822431922822787,3.790456912121259,2.932884086156355,0.9031148157019916,1.47604035397678,1.968192990229571,-0.9089430168248928,0.7710764542970192,37.072137969882,-0.8820754965080124,-1.296104116318641,0.1637217801004591,-0.5523589597871268,13
DELL,2024,Q4,-0.5097965025963236,-0.417937475084678,-0.6499700783202687,-0.0301284669761976,-0.5426659709396777,-0.483833512158707,-1.285486309022315,-1.0454040470394717,-0.161712996576739,-0.0438843125741552,-0.2617647769740694,-0.8827858799600475,1.7694808474662131,1.0856257521452115,1.2943747479468914,14
ERIE,2024,Q4,-1.743992319649341,-1.6700192184534473,0.7087406190198788,1.828916019749137,1.9739078016984448,0.359896133366021,0.7795248644131576,1.232947377101311,0.503875758705785,-1.3328894573174623,-0.6335780103715438,-0.8827858799600475,-1.296104116318641,-0.0894854664510055,-0.5523589597871268,0
PLTR,2024,Q4,2.572908282867247,3.085343063003777,-0.3611841618618309,-0.1123947933801826,-0.224228521158535,3.2898475764695854,1.8474428784562436,2.3269936878308117,-0.7301504945082894,-1.1283292446637054,6.544952537496728,-0.7998263446441567,-1.1479869570444936,0.0177319536289728,-0.5523589597871268,3
SW,2024,Q4,0.17734610644884,-0.1133283307366661,-0.3341743351763381,-0.3893507353792672,-0.6342103066892899,0.0444440308082629,-0.4571740339953305,-0.8709294791889303,-0.5643560156595151,-0.2868254334901383,3.0783123489265125,-0.7781851407797358,-1.296104116318641,0.3466317509592539,0.5090114414056714,5
CRWD,2024,Q4,0.4434561612361158,0.7396054069320649,-0.2253103946748196,-0.3287566369037138,-0.4568663520101065,2.754697269908675,1.7366029111920565,1.5572567400946815,-0.160325197231868,-0.3304485519396411,1.794980422991164,-0.3574537027468351,-0.4198038384147347,-0.008928997868603,19.78862458494803,7
GDDY,2024,Q4,-0.532854821924116,-0.3358681446521391,3.9998759222851454,0.4586863807834308,0.269630166027198,0.4773082663695096,1.9738231242630853,0.5213523260445049,0.2710913815909939,0.0429396268178187,-0.0696833844748094,2.467558927285723,1.1651003811322826,0.1317224195942396,-0.5523589597871268,9
VST,2024,Q4,10.326236146393647,11.643738301259324,-0.6499700783202687,4.441984085456863,-0.940876467537598,-3.2265928592657294,-1.285486309022315,-2.152921869724347,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.8827858799600475,-1.296104116318641,-1.0939977340537907,-0.5523589597871268,4
GEV,2024,Q4,-0.1164902271212676,-0.187087846263257,0.2616218177358692,-0.263391868179834,-0.5886243062799441,0.7623794154171881,0.7707514090165738,-0.2635794328472752,0.2013282369853307,0.3185040035184234,3.600291902949848,-0.6985993624989859,-1.191742800268793,0.5966184168691213,0.2246372092236569,5
SOLV,2024,Q4,0.0126037966141352,-0.1686344068968949,-0.4640422005557443,-0.626813251521682,-0.8280139748087179,1.4885531794826998,0.1004746878265375,-0.5840209654616397,-0.4884105848189063,-0.4154122236580869,-0.4531284191642147,1.4445071606546216,0.8949815504252069,0.1209973520880162,0.1780328848799524,15
DECK,2024,Q4,1.5499053014159492,1.5602358445705375,0.4330611486385044,1.2590786215998138,0.0397078561806795,0.7625719575535639,0.912194940283326,0.5676637317117799,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.6709932481210872,-1.296104116318641,1.326184323122504,0.1212890577965176,11
SMCI,2024,Q4,1.7311393178785546,0.9676378651247748,0.5019185672878371,1.0090198842318563,-0.435277257168688,0.4361432837662906,0.704847797463969,-0.2281923242077252,-0.9089430168248928,-1.3328894573174623,-0.6335780103715438,-0.2882940706624901,-0.4167198992022554,2.783044606544524,0.219526415038249,11
BLDR,2024,Q4,0.5212242568551746,0.1315012044572309,-0.6491541544193654,-0.729344652268735,-0.5590384558562089,-0.0103534225880322,-1.282149306142215,-0.7584269781224094,6.775011589123472,7.752864627593064,2.4718860051426867,-0.6389556798292788,-0.8807029586698011,-1.0907266903077966,-0.5500966093241438,5
JBL,2024,Q4,-0.1082085806976028,-0.3367287550627271,0.7591023787114752,-0.3349850039637898,-0.7866667424646104,0.104693100618222,0.6082193867069684,-1.2562354697298526,0.5453809390296299,0.5555814361106766,0.3838577596212985,0.9930815545977604,0.6514999005818811,1.9643044575659403,0.4091748862600752,6
UBER,2024,Q4,-0.1281753418007997,0.109914075753002,4.457116538486607,5.557947014463646,2.63179339674361,-1.446213238811686,0.4042893867884574,-0.1008431711588162,-0.3226743924176578,-0.6533743287244187,0.4476742196588976,-0.2072402425305218,-0.3070700303902677,0.8070290753069237,-0.5523589597871268,16
HUBB,2024,Q4,0.4160525113912972,0.0033094868248055,0.424214233279757,0.7200875645750666,0.1413685330978893,0.2753792708993133,0.5244042836231932,0.2647152764840471,1.1120321455470554,1.134212967840134,0.866989403004939,-0.134569581423824,-0.2256376694357678,0.5566925072484217,0.2096471574253412,0
VLTO,2024,Q4,0.6385505155769529,0.7519949444219374,1.2901789532305152,1.007163713546115,0.2847489917554647,0.2476545711369583,0.9878005124554798,0.3486615575126069,-0.1976337108970671,-0.4768658370619506,0.0625080503125723,0.5740630892667345,0.4895937307057744,0.6333208215309531,0.573957729020285,11
ABNB,2024,Q4,0.4587053218031663,0.7564034041827414,0.3334183226424603,0.3552915317324999,0.3989886184230143,0.7140538153805622,0.7944757499162262,0.8000969524610264,-0.3585259091303093,-0.7070327874841534,0.6035957777972594,-0.4544497929504229,-0.5914862047482266,-0.0804361207658909,-0.5523589597871268,11
KVUE,2024,Q4,-0.243393954837177,-0.3902825218173614,-0.0996792957594153,-0.1624577023532492,-0.3359712054287011,0.460153599369484,0.1568557144132054,-0.0687922773946884,-0.6159789701544676,-0.9436318100022484,-0.0512313927523152,0.2590331907479553,0.1068947830711009,0.1176786628208975,0.1838817701216814,15
PANW,2024,Q4,-0.3255468981728847,-0.1075042391503266,0.5831499975759039,0.1546204455843112,0.2483375614115464,1.3124266363627362,1.4678784289224556,1.176292082486908,-0.4097588267552005,-0.7207879855173399,1.440829743098954,-0.4543165531954719,-1.296104116318641,-0.1520469223493751,-0.5523589597871268,11
AXON,2024,Q4,0.91492621700722,1.0531807187476072,0.3905465673325188,0.7548003422098997,0.7181757664255244,1.3571801199911444,1.3582891439641231,1.5120721897350295,0.4486350532431132,0.299499903132669,1.3574368156056422,-0.4030919368688716,-0.4426738861732968,0.001929293027827,0.1089165595819349,11
FICO,2024,Q4,0.4024025405277586,0.6943820265623886,-0.6499700783202687,3.062822014755709,1.114987155047257,1.409682351410055,-1.285486309022315,1.7538316413335506,1.3550398222710744,1.2737143903547052,0.0100593279915195,-0.8827858799600475,2.814400499043197,1.0305312484407034,-0.5523589597871268,14
BG,2024,Q4,0.8067637758853359,0.3431124820063755,0.3369061507834932,0.4617201840614883,-0.5990591279958672,-1.4755757899638484,-0.6873493002382507,-1.6647156298038075,0.6982280838436475,1.0884167849236217,0.4214972461572139,-0.0892921063719037,-0.1630594688324895,2.8421044925882377,0.5852338320786866,6
PODD,2024,Q4,1.6419450007504657,1.579699572427331,0.8215916051461857,0.8709842249360548,0.2831507354163952,0.7350544485227816,1.1479449055746005,0.7374853511565216,-0.0830470233520616,-0.0600119840433071,6.164266474217262,-0.7639937203038151,-1.296104116318641,0.5092598189414226,-0.2049719002555311,3
GEHC,2024,Q4,-0.3410202898300549,-0.4048560748998656,0.8578741268731369,0.3437771525651447,0.0568298823149965,-0.5479457083426782,0.1627241053859284,-0.443392061380068,0.09933081308859,-0.0995036780721842,2.5434313762402727,-0.5920503623076511,-1.296104116318641,0.257000838746992,0.449727078749824,5
STLD,2024,Q4,1.059982464512348,0.122516855177149,-0.2272089251685564,-0.0425054867010777,-0.5310315316383423,-0.0403161148928983,-0.3409393611345908,-0.7296914457169785,-0.9089430168248928,0.0017699591094676,0.0486256579056918,-0.3344711011709074,-0.4354929479435439,0.9952943055374888,0.2362079974855379,11
FSLR,2024,Q4,1.0115792286299654,0.9632501074871868,0.236620640967957,0.861821099018436,0.8732052096958789,-0.5797385917572772,-0.2232903877836668,0.0221180001009008,0.8013523330512587,1.0812163049496355,4.419280377470543,-0.7295444695843694,-1.120380682425549,-0.0275175226638581,0.1137398369467139,5
ACGL,2024,Q4,-1.743992319649341,-1.6700192184534473,0.1597172133841909,-0.0766196432206177,0.5397368363575304,-0.8301759288003393,-0.431661170752975,-0.3500908495149846,0.7176454107352983,0.5241693853389199,2.4121574801540207,-0.6640807544557148,-0.8557052635931112,-0.5351235113338659,-0.5523589597871268,0
TRGP,2024,Q4,-0.5322432268694963,-0.4898147910187304,1.6904847711502204,0.0341992475132742,-0.3384032182213349,0.2481794383044454,1.1502921355927729,-0.2331117913469612,0.3915020148369221,0.8580619081570384,-0.03813879795529,2.442736076667885,1.1523647271642137,0.5112738843685862,1.981294844270229,6
PCG,2024,Q4,-0.1419481402231631,0.0340769281034145,-0.2424606315878219,-0.4792773721372485,-0.1801122581868585,-0.301254395269122,-0.5071747884663061,-0.465519279548295,-0.9089430168248928,-0.6104089434762808,-0.4156366427665415,1.029819371869086,0.6911215845008837,-0.6551634454954193,1.4216851774175268,15
CSGP,2024,Q4,3.371739565436988,3.9653105443411354,-0.5046251074587902,-0.40895896421144,-0.3048476470552396,1.7375731557892389,0.0978313755887713,0.9752428444130332,-0.871304637071882,-1.0980535913033302,2.4974611780441327,-0.8458991543129221,-1.2304665058565212,-0.4247654756991487,-0.5523589597871268,11
INVH,2024,Q4,-1.31357344216687,-1.1958832853689338,-0.3815846391871418,-0.3498807899085788,0.6032869173084657,-3.2265928592657294,-1.285486309022315,-2.152921869724347,-0.9089430168248928,-1.3328894573174623,-0.5261269351938803,0.2009705528620972,0.1658854159112266,-0.780059999976377,-0.5523589597871268,8
