symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover
APO,2023,Q3,-0.6219902276756923,-0.49996439558953604,0.6732348786305888,-0.530670577801751,0.9087432139632422,-0.035030474358925874,0.581302812501149,0.5468594871186737,-0.9285126991060574,-1.3249198664170658,-0.8700010462586669,0.10494722527466274,0.15024506632845266,-1.005519421229163,-0.6851871187889444
LII,2023,Q3,0.028025351922554464,-0.3095801163301621,9.818152968601908,1.270842359572803,-0.23172637027085097,0.26147513145322654,3.0347097508594816,-0.03381561468896228,1.3097139546619356,1.295554314426105,0.8289561981058219,3.3345372266774906,1.3008926772631588,2.149485471069656,0.13580875653388172
WDAY,2023,Q3,0.41255972949105263,0.7183020677461147,-0.6935521270264998,-0.6345053613916859,-0.9628909510469397,-3.2255594721904908,0.7370962251292051,0.727797964342309,-0.03778841500691717,-0.2298966675577776,0.31993358176189546,-0.12936751614739458,-0.16928153897888265,-0.06847473422233975,19.695733832383315
TPL,2023,Q3,3.8257216992809253,3.97928848527058,1.1337901951109655,3.394641051006138,3.14243791336393,0.5318367318940537,1.3508524800761266,1.7987140104204995,0.6146484488372698,0.6658284427136354,41.64041456882419,-0.9488503698107574,-1.5493992234989924,0.05838206653290554,-0.605813102517962
DELL,2023,Q3,-0.6254851465810333,-0.5205371645748965,-0.6935521270264998,-0.5104906789214962,-0.8837893733258841,0.39732481189670693,-1.3754099261581947,-1.4204129972142698,-0.9285126991060574,-0.8267327929280401,-0.7249989764090853,-0.9517554358583408,2.039938106202021,1.0452847929762459,0.7443378109791335
ERIE,2023,Q3,-0.0657723814700113,0.21817207681153272,0.6815245649093481,1.6658083343902594,0.17597806999932009,0.2860315036193175,0.8620839824606341,0.3599587430676254,-0.47446447554926163,-0.4560764567211236,-0.8700010462586669,-0.9517554358583408,-1.5493992234989924,1.476772012144563,-0.6972989294903744
PLTR,2023,Q3,2.125210891514686,2.508999766528816,-0.3035543567922738,0.09548884945926855,0.003979813688923485,1.8868239625039944,1.0828381980503134,1.4944266024065516,-0.8672807937005867,-1.2562413180312169,3.643008758318088,-0.8272179304510839,-1.5493992234989924,-0.03868262145500446,18.264868106028818
CRWD,2023,Q3,0.3319252149571749,0.5623656993222923,-0.6935521270264998,-0.6345053613916859,-0.9628909510469397,-3.2255594721904908,1.995962996015624,1.5331191134249293,-0.35284553565405896,-0.5078695340937589,1.8960932650646118,-0.14881855018298823,-0.1505936499539934,-0.061815501209539395,0.00046598299226243453
GDDY,2023,Q3,-1.0083411004900305,-1.051139689922348,-0.6935521270264998,0.225126936725831,-0.038257762765737224,0.050718966437020854,-1.3754099261581947,-0.002157667181237646,0.1624183654921818,-0.08972376785278165,-0.17033104314921554,-0.9517554358583408,2.324838290134664,0.19007460882904864,-0.0692100078578781
KKR,2023,Q3,1.6041798220326584,1.2304766643900649,0.546314812718864,-0.4122582577662615,2.046456948984472,-0.7847041464321883,-0.10098829564277767,0.3749332379527295,0.29578922010011005,0.0397103414196013,-0.4548313073623559,1.1275643731259128,0.849346203185709,-0.9875568557851099,-0.6575522034533631
VST,2023,Q3,-0.1215754864969718,0.08164240561402927,0.8415026810663683,0.0386857103508186,-0.033436312809765265,-1.145990146620595,-0.2159496224947252,-0.890726539667466,0.5896213882144684,0.5782667212189062,0.1963566226987866,1.2510233543296458,0.8112236298126293,-0.07704583446044598,0.8845614602430677
DECK,2023,Q3,0.9699138308803598,0.7128168172973572,1.879800176749444,3.4487848093430578,0.5467283397534597,-0.7271083826217071,0.5540539770119421,-0.2013277124107009,0.7981982926659139,0.6322836182121903,14.437737391547476,-0.7647221151192872,-1.5493992234989924,2.184801049718181,-0.052752460599838104
SMCI,2023,Q3,0.8162938316131089,0.010020145619266391,0.14040703942385355,0.5110821361257101,-0.4435113975292695,-0.17705091086565766,0.054446376081392196,-0.6224539358744575,-0.6126679585723668,-0.9620979483694274,6.409287318163073,-0.776368806060435,-1.2416472587070322,1.7383294361712778,-0.16171860970054427
BLDR,2023,Q3,0.33226067394238085,0.04247584757984081,0.960144547502835,1.1437597162912794,-0.20157607407075406,-0.8198259454853348,0.094684546384877,-0.7994158681004949,0.745653839518018,0.7702666489804691,0.6772813221611732,0.12475590821617448,0.06239462059472577,1.8586274128906004,0.500827116495589
JBL,2023,Q3,-0.2768169392426823,-0.5735045563965755,0.7442956284022362,-0.12000401419939745,-0.7453495763905985,-0.4394339718248849,0.28838003995644057,-1.3276398156469933,0.15549776986131408,0.4097191037508408,0.3347764363386559,0.5354046773927064,0.33040387170243046,1.93883509988868,0.14690296075463405
UBER,2023,Q3,-0.20537322720226436,-0.020148550139448166,-0.2829021540890965,-0.36989814572846463,-0.7743536661472348,1.7511662465158835,1.0135025934764734,-0.0029024782797676028,-0.5494553526920942,-0.881127674702849,-0.020919483863794046,0.4021851502247448,0.2846546985201792,0.8371953453519018,1.4024149065299267
HUBB,2023,Q3,0.6143909105509657,0.35216206337502937,0.5468988618569112,0.8378102435134297,0.12628943547903732,0.06346604573054412,0.5783604467108601,0.14580987451527003,0.49673841145356556,0.42979584909969876,0.4007964936468967,-0.21415757909481434,-0.20400293987458992,0.7037124779277641,0.07631915607377728
LULU,2023,Q3,0.7171037670261442,0.11203612752500083,0.5056488013811354,1.1127275976568964,-0.10535622902991987,0.9545944733342007,1.3208969628002616,0.6422317348359748,0.13454381483621367,0.2886323682344488,2.0327972496817672,-0.4530019226652113,-1.5493992234989924,1.521531175523866,-0.2351553373525183
VLTO,2023,Q3,0.20940698864721702,0.2338627521948542,2.4772778829648763,1.0475660558742979,0.2506927283535397,0.2580386657171131,1.655194144742524,0.39329736811116073,-0.24199918808750862,-0.5376057275715486,0.029244784234790835,1.2360872466065038,0.9020141672202081,0.7353698906735333,0.31466870328681507
ABNB,2023,Q3,0.34783064001164704,0.6506232351769038,6.197093302209202,7.381563004443743,5.674533040563104,-1.31531477929081,0.9746793804458307,0.758214706531898,0.22392065972828218,-0.03826494159953983,3.7011578288730935,-0.5585101352992408,-0.800781523071234,0.14595494297680628,-0.6972989294903744
BX,2023,Q3,1.9749497554060262,-1.5819368534710507,0.617824148567189,-0.06625226000368402,0.7184890612311656,0.6395002534497717,1.1270499607409168,0.9946675804544758,-0.0464547247783267,-0.3071313814975696,-0.06903295595668789,0.8648613692100807,-1.5493992234989924,-0.6204666405529278,-0.6913251244654591
KVUE,2023,Q3,-0.1989705535460786,-0.3286913772119138,0.0,0.05830148422166423,-0.1122648186050578,0.10890640467457509,0.12687016039432997,-0.026392737609458164,-0.663156522138947,-0.9790302542306378,-0.0875836668315179,0.04004237850438799,0.023876021141530826,0.045481562710129514,-0.04835698125261775
PANW,2023,Q3,-0.6297796703223277,-0.4179810396937285,0.7817190731610708,-0.3073043530561479,-0.47555187618572553,1.9561786483347083,2.436204263463156,0.9458809039178082,-0.4045188248538395,-0.7089543631113433,0.17721238783430424,1.5505390095794496,-1.5493992234989924,-0.1250225564720866,0.24055172610387934
AXON,2023,Q3,1.1778091428889823,1.318983666629865,-0.01964745602705333,0.14643276152358467,0.11344189777681392,1.1949826185934471,0.9898190097432124,1.0350449553976853,-0.41144421788007945,-0.6252150241603681,-0.016421805942868677,-0.2828134199793393,-0.3299495419054691,-0.08303502071329691,-0.20992758156213415
FICO,2023,Q3,0.0924720522236117,0.3836278016727878,-0.6935521270264998,2.738490631442419,1.2819239316560016,0.7059989137636533,-1.3754099261581947,1.3231978361242427,0.9041837341365109,0.7134216398225055,-0.2566196350689068,-0.9517554358583408,2.8280105372950732,0.7915035918708792,17.847750074229342
BG,2023,Q3,0.51473698197257,0.03651965260869322,-0.11428576222109199,0.0015417894652851004,-0.755307876522679,-0.5966865346293787,-0.48456953400067787,-1.4276655744184608,1.2892502018886216,1.3503519107551987,1.2293725397772917,-0.2015310451598018,-0.48992386456626386,2.6622464951355767,0.3384121389355037
PODD,2023,Q3,1.2341792160027762,1.0532400273800824,0.7486931751736986,0.2641130009596995,-0.05427920660686818,1.0322493056659579,1.5697847808788625,0.754530326440568,-0.5221373506231467,-0.6494506548916005,-0.48025292645777534,1.1492291927587406,0.8430572857013233,0.2668060101084616,-0.3977745554765045
GEHC,2023,Q3,-0.09498301046197218,-0.10334221380281249,0.20811291024979603,-0.137395103924895,-0.362176422212111,0.04642996690558733,0.29072702198854916,-0.3521809611398953,-0.08843060906181947,-0.30720365712785247,-0.250860234806568,0.6021060327583057,0.5575169497748411,0.07693978955117821,0.18151410603778967
STLD,2023,Q3,1.469638705319549,0.9775725544325773,0.4127227892851263,1.0032821231402254,-0.012229389123184787,-0.9268802984872095,-0.2858177515707165,-0.7174064019847701,0.5951275960101718,1.0226619947327051,2.227968806338343,-0.4312482077304753,-0.5251105674939046,1.1546063288034865,0.12750166263689883
FSLR,2023,Q3,1.1996584922782538,1.019208604455053,0.04016452071212022,0.5581347466878719,1.354872276159143,-0.2053505424374258,-0.06389902293438439,0.6074985679154626,-0.9285126991060574,-0.25194031510782444,1.8090873661652407,-0.8076236544818495,-1.2479511163014179,-0.411540677948717,-0.354367926503427
ACGL,2023,Q3,3.134490249979332,4.054808163169786,0.12193764976044194,-0.07295693471010987,0.629614235365152,-0.6567352105605222,-0.3060083596893659,-0.09979878173085509,0.9763331158586912,0.7926583183508402,4.611886257940663,-0.6649189892246506,-0.9073632645081927,-0.5983932138520102,-0.6972989294903744
TRGP,2023,Q3,-0.5644924755062101,-0.5603248296165049,0.7868014865538071,-0.1665901091500426,-0.5223521459111161,0.10206764235297916,0.7706909167061904,-0.5467140712014591,-0.9285126991060574,-0.135835754985044,-0.5580126415852857,2.219856005658576,1.1924880978531798,0.39124373886234776,1.2426038092170573
EQT,2023,Q3,2.6546981416045985,3.06261605498752,-0.36404236676670326,0.01814893363116224,0.000859434886911567,0.017319432130331706,-0.4576323899580542,0.006489481089282967,-0.8597688334322356,-1.1680337736481765,-0.11885600501475044,-0.7624209013149413,-1.104137752445945,-0.1409556926659453,17.200574427308833
PCG,2023,Q3,-0.5110892878024476,-0.31775321171257126,-0.43950437317729163,-0.5114844059666452,-0.49844693138599533,0.21078558558932606,-0.5002723333931667,-0.42969933592833226,-0.9285126991060574,-0.6147290677859034,-0.5491521050196201,1.1391780594472967,0.7974189537059103,-0.6913994818016224,1.0807283034914745
CSGP,2023,Q3,3.7616750793464697,4.220038605937182,-0.473925048242927,-0.19098135306605615,0.12315545660043822,1.528343368045318,0.28784330613220577,1.3109467180966756,-0.8376026952047355,-1.2103692456711552,-0.48965277446144284,-0.7026246576800307,-1.031322935275377,-0.5074725709231513,-0.6972989294903744
INVH,2023,Q3,0.9194239391863889,1.4549229790272562,-0.4684329765955893,-0.3431285260963547,0.5998777900002367,0.6395879204093059,-0.3184369007882254,0.92703255218586,-0.44869325334344273,-0.7247081258980523,-0.385599354321317,0.10633816094365063,0.15502473288125487,-0.8229504885543016,-0.6972989294903744
KDP,2023,Q3,-1.1061012900389289,-1.1244046168340807,-0.33787530422260736,-0.20459881964295956,0.06085781107893591,0.07805480720694773,-0.37332191217188315,0.10458088688516652,-0.6352760288972423,-0.9267245115923993,-0.4707140837729315,-0.1701225394876402,-0.4219945420731114,-0.48962117784403747,0.13706587440555554
ON,2023,Q3,0.7883934512250257,0.5043508697050825,0.6254718006707108,1.2193456899234005,0.9365308108710464,-0.13799789933410342,0.46355447239305037,0.4766461040355113,-0.6493305972051088,-0.3626282836525944,0.6500839899245414,-0.286097168215895,-0.5227087396414326,0.18728847551398034,-0.24692362293742592
VICI,2023,Q3,5.200742045610209,5.724684713929147,-0.2931144999532182,-0.07733976031076659,2.8828054435606703,-0.39838813328223094,-0.5824112059727923,0.9517403084919706,-0.47889015041924216,-0.8259368505401665,-0.557607866384055,-0.0006305403966764187,0.007439912978789143,-0.9072585247379769,-0.6972989294903744
WBD,2023,Q3,-0.4715467705113659,-0.20085184706012543,-0.6935521270264998,-0.6345053613916859,-0.9628909510469397,-3.2255594721904908,-0.9134236235727199,-0.9639750372267718,-0.29522421872917837,-0.511693448491263,-0.31926436597490127,0.2568863511601781,0.271340462289909,-0.4343630047807845,-0.6972989294903744
CPT,2023,Q3,-1.6314631503659591,-1.4188681606626259,-0.5209295018784748,-0.41035669241143374,-0.03430310119761234,1.0310223944967443,-0.24608628304946098,0.7726904090331742,-0.07948454645781845,0.0,-0.238174879335407,0.02464794140519385,0.07260990136188844,-0.7349800667463967,18.59165817897293
