,quarter,purchase_date,sell_date,baseline_return,symbol,start_price,end_price,return,strat_edge,confidence
0,2021_Q2,2021-08-15,2022-02-15,0.27943791464984363,NI,22.686601638793945,25.431875228881836,0.1210085862041801,-0.15842932844566354,0.7974953355560807
1,2021_Q2,2021-08-15,2022-05-15,0.27943791464984363,TMUS,137.62130737304688,123.75456237792967,-0.10076016032552967,-0.3801980749753733,0.7928534743989726
2,2021_Q2,2021-08-15,2022-08-15,0.27943791464984363,ADM,56.73089599609375,79.63811492919922,0.40378736367362794,0.12434944902378431,0.7823205543911927
3,2021_Q2,2021-08-15,2022-02-15,0.27943791464984363,CMS,57.23800277709961,56.23055648803711,-0.017601003532316993,-0.2970389181821606,0.7660344416560333
4,2021_Q2,2021-08-15,2022-05-15,0.27943791464984363,WMB,20.359207153320312,30.662290573120117,0.5060650614834729,0.22662714683362922,0.7582629168248717
5,2021_Q2,2021-08-15,2022-05-15,0.27943791464984363,CVS,76.2278060913086,89.42109680175781,0.17307714057316287,-0.10636077407668076,0.7490659610473027
6,2021_Q2,2021-08-15,2022-11-15,0.27943791464984363,DLTR,102.29000091552734,168.83999633789062,0.6506011812173244,0.3711632665674807,0.7417690648362247
7,2021_Q2,2021-08-15,2022-05-15,0.27943791464984363,HII,188.8012237548828,191.3463592529297,0.013480503184402968,-0.26595741146544066,0.736010321238022
8,2021_Q2,2021-08-15,2022-05-15,0.27943791464984363,EXC,30.608375549316406,42.34172439575195,0.38333784906457063,0.103899934414727,0.7302105407393535
9,2021_Q2,2021-08-15,2022-08-15,0.27943791464984363,CNP,24.29073715209961,30.363967895507812,0.25002249645121427,-0.02941541819862936,0.7228662304796405
10,2021_Q3,2021-11-15,2023-08-15,0.22893308685877245,LMT,310.2996826171875,423.2333984375,0.36395047158213595,0.1350173847233635,0.7642295413834758
11,2021_Q3,2021-11-15,2022-11-15,0.22893308685877245,GD,187.32400512695312,234.4639434814453,0.25164921240363475,0.022716125544862298,0.7266172229011741
12,2021_Q3,2021-11-15,2023-02-15,0.22893308685877245,SLB,30.509933471679688,53.46078109741211,0.7522418115737992,0.5233087247150268,0.7136576156924482
13,2021_Q3,2021-11-15,2022-05-15,0.22893308685877245,HII,175.6961212158203,191.3463592529297,0.08907560354098569,-0.13985748331778675,0.706481013580909
14,2021_Q3,2021-11-15,2022-11-15,0.22893308685877245,XYL,124.13365173339844,108.85294342041016,-0.1230988382248403,-0.35203192508361275,0.7053541462708263
15,2021_Q3,2021-11-15,2022-05-15,0.22893308685877245,PSX,69.08778381347656,86.91744995117188,0.2580726309854128,0.029139544126640327,0.6916998461204398
16,2021_Q3,2021-11-15,2022-05-15,0.22893308685877245,HES,78.67929077148438,112.61837005615234,0.4313597511096079,0.20242666425083544,0.6908626664729656
17,2021_Q3,2021-11-15,2022-11-15,0.22893308685877245,BIIB,271.82000732421875,299.7799987792969,0.10286215400519906,-0.1260709328535734,0.6631950251730292
18,2021_Q3,2021-11-15,2022-05-15,0.22893308685877245,HON,207.68247985839844,182.9984893798828,-0.11885446714304261,-0.34778755400181505,0.6549746632338876
19,2021_Q3,2021-11-15,2022-11-15,0.22893308685877245,FMC,95.65019989013672,117.9697723388672,0.23334580036807678,0.0044127135093043335,0.6451980013126395
20,2021_Q4,2022-02-15,2022-08-15,0.32043854221114487,KEY,22.363758087158203,16.68628692626953,-0.25386927987513913,-0.5743078220862841,0.7044117251495877
21,2021_Q4,2022-02-15,2022-08-15,0.32043854221114487,AFL,60.22684860229492,60.198272705078125,-0.00047447106863413073,-0.320913013279779,0.6714801358664377
22,2021_Q4,2022-02-15,2022-08-15,0.32043854221114487,HBAN,13.892284393310549,12.587263107299805,-0.0939385668378011,-0.414377109048946,0.6462642367218617
23,2021_Q4,2022-02-15,2022-08-15,0.32043854221114487,USB,50.331275939941406,42.912071228027344,-0.14740744345061202,-0.4678459856617569,0.6181395583804765
24,2021_Q4,2022-02-15,2023-02-15,0.32043854221114487,OTIS,74.9606704711914,81.62535858154297,0.08890913152801788,-0.231529410683127,0.6019730926070291
25,2021_Q4,2022-02-15,2024-05-15,0.32043854221114487,APH,37.18132400512695,65.38999938964844,0.7586786145816586,0.43824007237051377,0.6010398008204929
26,2021_Q4,2022-02-15,2024-02-15,0.32043854221114487,STLD,60.59761428833008,121.8208999633789,1.0103250168190077,0.6898864746078628,0.5873457524195542
27,2021_Q4,2022-02-15,2024-12-30 00:00:00,0.32043854221114487,GRMN,110.9390869140625,206.7168426513672,0.8633364344480108,0.5428978922368659,0.5872322254050127
28,2021_Q4,2022-02-15,2023-02-15,0.32043854221114487,LKQ,50.82925033569336,54.712703704833984,0.07640194068362215,-0.2440366015275227,0.5842770813051904
29,2021_Q4,2022-02-15,2024-02-15,0.32043854221114487,FAST,48.237361907958984,68.59754943847656,0.4220833545865663,0.10164481237542144,0.5811189168332228
30,2022_Q1,2022-05-15,2024-12-30 00:00:00,0.46636751080882494,HWM,33.74677658081055,110.19451141357422,2.265334428303123,1.798966917494298,0.6787495832598773
31,2022_Q1,2022-05-15,2023-11-15,0.46636751080882494,LW,60.92807388305664,92.51980590820312,0.5185086284818822,0.052141117673057236,0.646501156686451
32,2022_Q1,2022-05-15,2023-02-15,0.46636751080882494,MDLZ,61.37682342529297,62.08255386352539,0.01149832133445986,-0.45486918947436505,0.636280492752861
33,2022_Q1,2022-05-15,2023-02-15,0.46636751080882494,SLB,39.582881927490234,53.46078109741211,0.35060355623787215,-0.11576395457095279,0.6289871290474232
34,2022_Q1,2022-05-15,2023-05-15,0.46636751080882494,MNST,44.55500030517578,59.720001220703125,0.3403658581900107,-0.12600165261881424,0.6063023270073578
