Date,Close,High,Low,Open,Volume
2021-08-16,423.62939453125,423.76206874302704,419.7434892166579,421.31680810691563,73740000
2021-08-17,420.8524169921875,421.7243587629291,417.82899520171395,421.041955717845,92673900
2021-08-18,416.2462158203125,421.4116309011083,415.99981256880733,419.82882480507396,89351900
2021-08-19,416.8906555175781,418.1038421461127,413.34596622470747,413.48812749400093,92812200
2021-08-20,420.2078857421875,420.53961465236085,416.7484932194333,417.24135751704904,72008700
2021-08-23,423.904296875,424.82364507616273,420.2837685839085,421.9139521285281,54973000
2021-08-24,424.5771484375,425.1173901582532,424.05588083436186,424.5771484375,38744700
2021-08-25,425.4681091308594,425.989376788988,424.38762557536865,424.7667608801489,40529700
2021-08-26,422.9565124511719,425.42071847954503,422.86172862147356,425.18377336728116,57829600
2021-08-27,426.73809814453125,427.117204495792,423.7146765455926,423.7715410520837,77235100
2021-08-30,428.6147766113281,429.4109087431477,427.17413177130385,427.4205639516164,48357400
2021-08-31,427.97967529296875,428.861104041214,427.37311093386097,428.51991701245834,59300200
2021-09-01,428.2071533203125,429.44874327289796,427.97020823128537,428.9274756466226,48721400
2021-09-02,429.52459716796875,430.33967441969605,428.3114394259816,429.64781324647686,42501000
2021-09-03,429.4203186035156,429.94161516295907,427.97021579001637,428.37778333255187,47170500
2021-09-07,427.88494873046875,429.1644581074277,427.2025456576882,429.06967427877083,51671500
2021-09-08,427.3636779785156,428.0840003623598,425.42071073892623,427.34473278250624,56181900
2021-09-09,425.53448486328125,428.9370132719499,425.28805268597426,427.16466842492406,57970400
2021-09-10,422.17926025390625,427.91331951437127,422.0560441867494,427.4868357326276,89948200
2021-09-13,423.2597961425781,425.47762792992717,420.9187771883453,425.21225055116236,83738600
2021-09-14,420.97564697265625,424.92787517446743,420.07524399317424,424.7193623225855,78197100
2021-09-15,424.49188232421875,424.9942047699643,420.28373511217745,421.4021090217299,78792200
2021-09-16,423.81890869140625,424.9467405830493,420.8333777536637,423.96106994464213,77786700
2021-09-17,419.6905212402344,423.4652650206614,419.3292062208717,423.0374148792782,118425000
